,Country,Cases,Deaths,Recoveries
0,Russia,1215001,20796,960729
1,Spain,810807,31973,150376
2,France,619190,32034,99154
3,United Kingdom,480017,42292,2383
4,Italy,325329,35918,228844
5,Turkey,324443,8441,285050
6,Germany,301013,9509,258220
7,Ukraine,226462,4288,97956
8,Romania,135900,4862,103994
9,Netherlands,135892,6470,4111
10,Belgium,127623,10023,19521
11,Poland,100074,2543,70401
12,Sweden,94283,5893,0
13,Czech Republic,81711,678,34186
14,Belarus,79852,839,74777
15,Portugal,79151,1977,48937
16,Moldova,56579,1336,39499
17,Switzerland,54384,2074,45300
18,Austria,48146,802,36476
19,Ireland,45243,1835,24000
20,Serbia,33901,750,0
21,Hungary,30575,781,6118
22,Denmark,29680,651,21752
23,Bosnia and Herzegovina,28354,861,20947
24,Bulgaria,21518,825,14634
25,Greece,19842,393,1347
26,Macedonia,18790,743,15068
27,Croatia,17659,284,15218
28,Kosovo* ,15814,630,13856
29,Norway,14421,274,11190
30,Albania,14266,388,8077
31,Slovakia,13139,55,4620
32,Montenegro,12127,170,7397
33,Finland,10538,344,8100
34,Luxembourg,8890,125,7280
35,Slovenia,6498,152,3906
36,Lithuania,5185,92,2424
37,Estonia,3607,65,2643
38,Malta,3270,35,2605
39,Iceland,2921,10,2177
40,Andorra,2110,53,1432
41,Latvia,2086,37,1307
42,Cyprus,1789,22,1369
43,San Marino,732,42,680
44,Faroe Islands,474,0,435
45,Jersey,421,32,375
46,Gibraltar,432,0,360
47,Isle of Man,342,13,0
48,Guernsey,257,14,242
49,Monaco,222,2,188
50,Liechtenstein,126,1,116
51,Ã…land Islands,21,0,0
52,Holy See,12,0,12
